Key,Description,en,it
F/A-26B:fa26-opDesertCobra:mission5:obj_1:info,Mission objective info.,Defend the carrier fleet as it embarks form the  port.,
F/A-26B:fa26-opDesertCobra:mission5:obj_2:name,A mission objective name,Carrier Landing,
F/A-26B:fa26-opDesertCobra:mission5:obj_2:info,Mission objective info.,Land on the carrier.,
F/A-26B:fa26-opDesertCobra:mission5:obj_3:name,A mission objective name,Ground Targets Brdg,
F/A-26B:fa26-opDesertCobra:mission5:obj_3:info,Mission objective info.,Destroy armored vehicles moving towards the base.,
F/A-26B:fa26-opDesertCobra:mission5:obj_4:name,A mission objective name,Ground Targets Cnyn,
F/A-26B:fa26-opDesertCobra:mission5:obj_4:info,Mission objective info.,Destroy ground targets moving through the canyons towards the base.,
F/A-26B:fa26-opDesertCobra:mission5:obj_5:name,A mission objective name,Hostile Attackers,
F/A-26B:fa26-opDesertCobra:mission5:obj_5:info,Mission objective info.,Destroy hostile attack aircraft.,
F/A-26B:fa26-opDesertCobra:mission5:obj_6:name,A mission objective name,Hostile Attackers 2,
F/A-26B:fa26-opDesertCobra:mission5:obj_6:info,Mission objective info.,Destroy hostile attack aircraft.,
F/A-26B:fa26-opDesertCobra:mission5:obj_7:name,A mission objective name,Hostile Bombers,
F/A-26B:fa26-opDesertCobra:mission5:obj_7:info,Mission objective info.,Destroy hostile bomber and its escorts.,
fa26-opDesertCobra:mission6_name,Name of a mission.,Northern Assault,
fa26-opDesertCobra:mission6_description,Description of a mission.,Participate in a strike on hostile military targets.,
F/A-26B:fa26-opDesertCobra:mission6:obj_0:name,A mission objective name,CAP,
F/A-26B:fa26-opDesertCobra:mission6:obj_0:info,Mission objective info.,General objective: Fly Combat Air Patrol.,
F/A-26B:fa26-opDesertCobra:mission6:obj_1:name,A mission objective name,Air Targets,
F/A-26B:fa26-opDesertCobra:mission6:obj_1:info,Mission objective info.,Destroy enemy air targets.,
F/A-26B:fa26-opDesertCobra:mission6:obj_2:name,A mission objective name,Carrier Aircraft,
F/A-26B:fa26-opDesertCobra:mission6:obj_2:info,Mission objective info.,Destroy air targets launching from enemy carrier.,
F/A-26B:fa26-opDesertCobra:mission6:obj_3:name,A mission objective name,Phase 2,
F/A-26B:fa26-opDesertCobra:mission6:obj_3:info,Mission objective info.,Shift CAP focus to the next waypoint.,
F/A-26B:fa26-opDesertCobra:mission6:obj_4:name,A mission objective name,Air Targets 2,
F/A-26B:fa26-opDesertCobra:mission6:obj_4:info,Mission objective info.,Destroy aircraft departing from the enemy airbase.,
F/A-26B:fa26-opDesertCobra:mission6:obj_5:name,A mission objective name,Destroy Bomber,
F/A-26B:fa26-opDesertCobra:mission6:obj_5:info,Mission objective info.,Destroy enemy bomber and escorts threatening carrier.,
F/A-26B:fa26-opDesertCobra:mission6:obj_6:name,A mission objective name,RTB,
F/A-26B:fa26-opDesertCobra:mission6:obj_6:info,Mission objective info.,,
F/A-26B:fa26-opDesertCobra:mission6:obj_7:name,A mission objective name,Begin Attack,
F/A-26B:fa26-opDesertCobra:mission6:obj_7:info,Mission objective info.,Approach the attack waypoint with the other air groups.,
fa26-opDesertCobra:mission7_name,Name of a mission.,Striking Oil,
fa26-opDesertCobra:mission7_description,Description of a mission.,The carrier group's next target is one of the enemy's main sources of oil.,
F/A-26B:fa26-opDesertCobra:mission7:obj_0:name,A mission objective name,Launch,
F/A-26B:fa26-opDesertCobra:mission7:obj_0:info,Mission objective info.,Take off and orbit waypoint.,
F/A-26B:fa26-opDesertCobra:mission7:obj_1:name,A mission objective name,Attack Oil Rigs,
F/A-26B:fa26-opDesertCobra:mission7:obj_1:info,Mission objective info.,Destroy the four oil rigs.,
F/A-26B:fa26-opDesertCobra:mission7:obj_3:name,A mission objective name,Pending,
F/A-26B:fa26-opDesertCobra:mission7:obj_3:info,Mission objective info.,Fly to objective waypoint and await further instructions.,
F/A-26B:fa26-opDesertCobra:mission7:obj_4:name,A mission objective name,VIP Target,
F/A-26B:fa26-opDesertCobra:mission7:obj_4:info,Mission objective info.,Find and destroy the high priority target.,
F/A-26B:fa26-opDesertCobra:mission7:obj_5:name,A mission objective name,RTB,
F/A-26B:fa26-opDesertCobra:mission7:obj_5:info,Mission objective info.,Return to the carrier.,
fa26-opDesertCobra:mission8_name,Name of a mission.,Decapitation,
fa26-opDesertCobra:mission8_description,Description of a mission.,End the conflict for good by launching a heavy strike on the command center.,
F/A-26B:fa26-opDesertCobra:mission8:obj_0:name,A mission objective name,Rejoin,
F/A-26B:fa26-opDesertCobra:mission8:obj_0:info,Mission objective info.,Rejoin with the wing leader.,
F/A-26B:fa26-opDesertCobra:mission8:obj_1:name,A mission objective name,Follow,
F/A-26B:fa26-opDesertCobra:mission8:obj_1:info,Mission objective info.,Follow the wing leader and her commands on the way to the AO.,
F/A-26B:fa26-opDesertCobra:mission8:obj_2:name,A mission objective name,Strike Supplies,
F/A-26B:fa26-opDesertCobra:mission8:obj_2:info,Mission objective info.,Destroy all supply depots in the base.,
F/A-26B:fa26-opDesertCobra:mission8:obj_4:name,A mission objective name,Clear Defenses,
F/A-26B:fa26-opDesertCobra:mission8:obj_4:info,Mission objective info.,Disable any remaining air defenses around the base.,
F/A-26B:fa26-opDesertCobra:mission8:obj_5:name,A mission objective name,Protect Transport,
F/A-26B:fa26-opDesertCobra:mission8:obj_5:info,Mission objective info.,Protect the transport and the team of soldiers it carries.,
F/A-26B:fa26-opDesertCobra:mission8:obj_6:name,A mission objective name,Take Off,
F/A-26B:fa26-opDesertCobra:mission8:obj_6:info,Mission objective info.,Take off and wait for wingmen.,
F/A-26B:fa26-opDesertCobra:mission8:obj_7:name,A mission objective name,Destroy Tanks,
F/A-26B:fa26-opDesertCobra:mission8:obj_7:info,Mission objective info.,Destroy tanks threatening the raid team.,
F/A-26B:fa26-opDesertCobra:mission8:obj_9:name,A mission objective name,RTB,
F/A-26B:fa26-opDesertCobra:mission8:obj_9:info,Mission objective info.,Return to the carrier.,
fa26-opDesertCobra_mission1_b0,Text from a mission briefing.,"You are stationed at our most remote airbase, closest to the enemy border.

The enemy seeks to destroy the airbase's supplies in order to prevent us from conducting airstrikes in this region.",
fa26-opDesertCobra_mission1_b1,Text from a mission briefing.,"Intel has revealed that the enemy has launched a multi-pronged effort to attack the airbase.

A small group of hostile self-propelled artillery have mobilized to get into firing range of our supply depots.",
fa26-opDesertCobra_mission1_b2,Text from a mission briefing.,"While it will be necessary to destroy the artillery, we believe that the attack is aimed to distract us from a follow-up airstrike.

The type of attackers, their locations, and numbers are unknown at this time.",
fa26-opDesertCobra_mission1_b3,Text from a mission briefing.,"An E-4 AWACS will be deployed in order to aid in locating the airborne threats.

Due to our proximity to enemy territory, the AWACS will be vulnerable.  Please defend it if necessary.",
fa26-opDesertCobra_mission1_b4,Text from a mission briefing.,"SUMMARY:
Objective:
Defend airbase supply depots.

Known targets:
3x self-propelled artillery

Unknown targets:
Bombers and/or attack aircraft.",
fa26-opDesertCobra_mission2_b0,Text from a mission briefing.,"Now's our chance to head back out and return the favor to the enemy.

They occupy two airbases -- one to the northeast, and one further due north.",
fa26-opDesertCobra_mission2_b1,Text from a mission briefing.,"You must destroy the 4 supply depots at each base, for a total of 8 targets.

The enemy is most likely expecting us, so they probably beefed up air defenses as well as numerous aircraft on patrol.

Use the cover of darkness and terrain to mask your approach to the targets.",
fa26-opDesertCobra_mission2_b2,Text from a mission briefing.,"We have gathered intel on the near exact locations of their supplies, which will be set as the objective waypoints.

How you want to attack is up to you.
I recommend to remain radar silent to avoid detection.",
fa26-opDesertCobra_mission2_b3,Text from a mission briefing.,"SUMMARY:
Objective: 
- Destroy the 8 supply depots at each base (4 each).

Threats:
- Numerous radar and IR SAM sites
- Hostile combat air patrol",
fa26-opDesertCobra_mission3_b0,Text from a mission briefing.,"You've been transferred to the airbase near Gloom Lake.  

This lake lies on another border between our nation and the enemy's, and is where they conduct tests on naval vessels and aircraft.",
fa26-opDesertCobra_mission3_b1,Text from a mission briefing.,"There have been an unusually high number of enemy drones harassing us recently.  They fly dangerously close to our base and force us to take defensive measures.  

We believe that they're attempting to distract us while they test new military technologies.",
fa26-opDesertCobra_mission3_b2,Text from a mission briefing.,"In order to put a damper on their research efforts, we're sending out a group of F/A-26Bs configured to sink their test ships.

Although this is a testing area, the enemy ships are fully functional and armed.",
fa26-opDesertCobra_mission3_b3,Text from a mission briefing.,"You and your wingmen are tasked to destroy enemy air defenses and patrol aircraft, to allow the strikers to perform the anti-shipping attack.

The strikers will be in the air waiting for you.  Join them and escort them along their attack path.",
fa26-opDesertCobra_mission3_b4,Text from a mission briefing.,"When you reach the end of the attack path, the strikers will begin anti-shipping. Target radars to prevent them from defending against the attack.

Simultaneously, allied combat air patrol will be vectored to the area to help keep enemy aircraft away.",
fa26-opDesertCobra_mission3_b5,Text from a mission briefing.,"SUMMARY:
Objective: Support strikers while they attack enemy ships.
- Suppress enemy air defenses
- Defend strikers from enemy air patrols

Primary Targets:
- Radars
- Aggressive Aircraft

Threats:
- Ships
- Aircraft
- SAMs
- AAA",
fa26-opDesertCobra_mission4_b0,Text from a mission briefing.,"A couple of bombers are returning from a long range mission.  Their fuel reserves are low, so we're sending out a KC-49 tanker to provide air-to-air refuelling.

We are concerned that enemy aircraft will intercept the tanker, which is where you and your wingmen come in.",
fa26-opDesertCobra_mission4_b1,Text from a mission briefing.,"Fly with the tanker and keep it safe. Maintain active radar and RWR so you are aware of hostiles. 

AWACs will also be available to help spot incoming threats.",
fa26-opDesertCobra_mission4_b2,Text from a mission briefing.,"SUMMARY
Objective: 
- Escort the tanker to the rendezvous.  
- Engage all hostile aircraft that approach.
- Mission complete when the tanker and bombers return to base.

Threats:
- Hostile aircraft",
fa26-opDesertCobra_mission5_b0,Text from a mission briefing.,"It's time to send a naval strike group deep into enemy territory.  The aircraft carrier and its escorts will soon be ready to depart, but enemy forces are close.  

They will likely attempt to stop the carrier group before our mission can even begin.",
fa26-opDesertCobra_mission5_b1,Text from a mission briefing.,"Your job is to protect the ships, onboard aircraft, and the naval base from the enemy attack.  Hostile aircraft and land vehicles are approaching.  

Once the coast is clear, you will land on the carrier and join on the offensive.",
fa26-opDesertCobra_mission5_b2,Text from a mission briefing.,"SUMMARY

Objective:
- Defend naval strike group and naval base

Threats:
- Fighter Aircraft
- Bombers
- Tanks
- Mobile Anti-Air",
fa26-opDesertCobra_mission6_b0,Text from a mission briefing.,"The carrier group's first stop is a small northern island territory occupied by the enemy.

They have a few military bases here and use the island to stage their attacks on our western coast.",
fa26-opDesertCobra_mission6_b1,Text from a mission briefing.,"The island is a valuable asset to the enemy's air and naval forces, so it's our duty to halt their operations here.

We will launch a full on air assault.",
fa26-opDesertCobra_mission6_b2,Text from a mission briefing.,"There are 4 major components to the attack, which will be split up among 4 specialized air groups.

Whiskey group will suppress enemy air defenses. X-ray group will attack ground targets such as armored vehicles and supply depots.  Bravo will sink the enemy ships.",
fa26-opDesertCobra_mission6_b3,Text from a mission briefing.,"Kilo group, your group, will fly combat air patrol and keep the enemy fighters away from the other groups.

The enemy only has a few groups of fighters in the air, but they have a carrier full of aircraft ready to go, and an airbase not far from our point of entry.",
fa26-opDesertCobra_mission6_b4,Text from a mission briefing.,"All groups will maintain open communications, but you will only have command over your own group.  Focus on your own objective (CAP) but maintain awareness of the bigger picture.",
fa26-opDesertCobra_mission6_b5,Text from a mission briefing.,"SUMMARY

Objective:
- Combat air patrol

Targets:
- Multiple hostile aircraft

Threats:
- Hostile Aircraft
- SAMs
- Ships",
fa26-opDesertCobra_mission7_b0,Text from a mission briefing.,"We have located the enemy's main source of oil off the shore of some remote islands.  

The carrier group has been sent to destroy the oil platforms and further reduce the enemy's ability to fuel war.",
fa26-opDesertCobra_mission7_b1,Text from a mission briefing.,"There seems to be an unusually high naval military presence here, so the guided missile cruisers will be assisting your attack.

Air groups X-ray and Sierra will be primarily focused on SEAD, while Bravo will provide CAP.",
